Date,Open,High,Low,Close,Volume,Adj Close
2017-03-13,138.710007,139.679993,138.669998,139.600006,10946300,139.600006
2017-03-06,136.880005,139.490005,136.509995,138.789993,13500100,138.789993
2017-02-27,135.259995,137.820007,134.75,137.169998,13985400,137.169998
2017-02-21,133.50,136.789993,132.899994,135.440002,18244100,135.440002
2017-02-13,134.699997,134.699997,132.550003,133.529999,13209500,133.529999
2017-02-06,130.979996,134.940002,130.300003,134.190002,16960700,134.190002
2017-01-30,131.580002,135.490005,129.520004,130.979996,31864500,130.979996
2017-01-23,127.309998,133.139999,126.949997,132.179993,17937500,132.179993
2017-01-17,128.039993,128.479996,126.779999,127.040001,14813000,127.040001
2017-01-09,123.550003,129.270004,123.040001,128.339996,20361400,128.339996
2017-01-03,116.029999,123.879997,115.510002,123.410004,22024900,123.410004
2016-12-27,116.959999,118.68,114.769997,115.050003,13132300,115.050003
2016-12-19,119.849998,120.360001,116.300003,117.269997,13441000,117.269997
2016-12-12,119.220001,122.50,117.610001,119.870003,23654600,119.870003
2016-12-05,115.949997,119.940002,115.07,119.68,20167900,119.68
2016-11-28,120.120003,122.099998,114.00,115.400002,27036000,115.400002
2016-11-21,118.199997,122.980003,117.800003,120.379997,21377800,120.379997
2016-11-14,119.129997,119.129997,113.550003,117.019997,31494200,117.019997
2016-11-07,122.830002,124.610001,115.269997,119.019997,34971900,119.019997
2016-10-31,132.009995,132.119995,119.25,120.75,34339900,120.75
2016-10-24,132.720001,133.50,129.270004,131.289993,17035700,131.289993
2016-10-17,128.199997,132.130005,127.32,132.070007,14772800,132.070007
2016-10-10,129.679993,130.699997,126.75,127.879997,14846800,127.879997
2016-10-03,128.380005,129.279999,127.550003,128.990005,12867600,128.990005
2016-09-26,127.370003,129.470001,126.800003,128.270004,15136900,128.270004
2016-09-19,129.910004,130.729996,127.300003,127.959999,16795100,127.959999
2016-09-12,125.959999,129.179993,125.75,129.070007,18831300,129.070007
2016-09-06,126.669998,131.979996,126.470001,127.099998,24261600,127.099998
2016-08-29,124.349998,126.860001,124.349998,126.510002,14717100,126.510002
2016-08-22,123.330002,125.190002,123.089996,124.959999,13635000,124.959999
2016-08-15,124.910004,124.919998,122.779999,123.559998,14280100,123.559998
2016-08-08,125.25,126.089996,124.18,124.879997,13882700,124.879997
2016-08-01,123.849998,125.839996,122.07,125.150002,21750100,125.150002
2016-07-25,121.389999,128.330002,117.779999,123.940002,40553600,123.940002
2016-07-18,117.32,122.199997,116.889999,121.00,19736000,121.00
2016-07-11,117.709999,118.720001,116.580002,116.860001,16072500,116.860001
2016-07-05,113.940002,117.50,112.970001,117.239998,18329300,117.239998
2016-06-27,111.57,115.18,108.230003,114.190002,24417000,114.190002
2016-06-20,113.769997,115.209999,111.00,112.080002,22323600,112.080002
2016-06-13,115.00,115.480003,112.559998,113.019997,22607300,113.019997
2016-06-06,118.620003,119.43,116.260002,116.620003,15344600,116.620003
2016-05-31,119.459999,120.099998,117.82,118.470001,16485100,118.470001
2016-05-23,117.419998,119.849998,115.940002,119.379997,18518000,119.379997
2016-05-16,119.379997,119.610001,115.879997,117.349998,22741500,117.349998
2016-05-09,119.540001,121.080002,118.900002,119.809998,21311200,119.809998
2016-05-02,117.830002,119.639999,116.57,119.489998,24786800,119.489998
2016-04-25,109.870003,120.790001,106.309998,117.580002,44000600,117.580002
2016-04-18,109.739998,114.040001,109.010002,110.559998,26332900,110.559998
2016-04-11,110.699997,112.650002,106.519997,109.639999,40726700,109.639999
2016-04-04,114.07,114.889999,109.900002,110.629997,32295400,110.629997
2016-03-28,113.32,116.989998,112.949997,116.059998,26076000,116.059998
2016-03-21,111.660004,113.190002,111.029999,113.050003,18462500,113.050003
2016-03-14,109.279999,112.690002,108.769997,111.449997,24022100,111.449997
2016-03-07,108.07,109.419998,104.400002,109.410004,24619700,109.410004
2016-02-29,107.599998,110.550003,106.75,108.389999,26311700,108.389999
2016-02-22,105.489998,109.449997,102.739998,107.919998,30406700,107.919998
2016-02-16,103.800003,106.00,100.239998,104.57,37939600,104.57
