Date,Open,High,Low,Close,Volume,Adj Close
2017-03-01,828.849976,848.684998,822.400024,845.539978,1298700,845.539978
2017-02-01,799.679993,833.450012,791.190002,823.210022,1464100,823.210022
2017-01-03,778.809998,841.950012,775.799988,796.789978,1742700,796.789978
2016-12-01,757.440002,804.380005,737.025024,771.820007,1595700,771.820007
2016-11-01,782.890015,795.632996,727.539978,758.039978,2131700,758.039978
2016-10-03,774.25,816.679993,769.50,784.539978,1732500,784.539978
2016-09-01,769.25,789.849976,754.00,777.289978,1387400,777.289978
2016-08-01,761.090027,789.75,761.090027,767.049988,1201400,767.049988
2016-07-01,692.200012,778.549988,688.215027,768.789978,1687800,768.789978
2016-06-01,734.530029,737.210022,663.283997,692.099976,1861800,692.099976
2016-05-02,697.630005,739.72998,689.01001,735.719971,1767700,735.719971
2016-04-01,738.599976,769.900024,689.00,693.01001,2125600,693.01001
2016-03-01,703.619995,757.880005,685.340027,744.950012,1975500,744.950012
2016-02-01,750.460022,789.869995,663.059998,697.77002,3342400,697.77002
2016-01-04,743.00,752.00,673.26001,742.950012,2632600,742.950012
2015-12-01,747.109985,779.97998,724.169983,758.880005,2026100,758.880005
2015-11-02,711.059998,762.708008,705.849976,742.599976,1801600,742.599976
2015-10-01,608.369995,730.00,599.849976,710.809998,2333600,710.809998
2015-09-01,602.359985,650.900024,589.380005,608.419983,2398400,608.419983
2015-08-03,625.340027,674.900024,565.049988,618.25,2661500,618.25
2015-07-01,524.72998,678.640015,515.179993,625.609985,2955500,625.609985
2015-06-01,536.789978,543.73999,520.50,520.51001,1660600,520.51001
2015-05-01,538.429993,544.190002,521.085022,532.109985,1723100,532.109985
2015-04-01,548.602478,571.142578,521.01239,537.340027,2117000,537.340027
2015-03-02,560.532532,577.912598,544.222473,548.002441,1828800,548.002441
2015-02-02,531.732361,564.712524,518.552368,558.402527,1842300,558.402527
2015-01-02,529.01239,542.172424,487.562195,534.522461,2790600,534.522461
2014-12-01,538.902466,541.412415,489.002228,526.402405,2146900,526.402405
2014-11-03,555.502502,557.902527,530.082397,541.832458,1561400,541.832458
2014-10-01,576.012634,581.002625,508.102295,559.08252,2356400,559.08252
2014-09-02,571.8526,596.482727,568.212585,577.36261,1673200,577.36261
2014-08-01,570.402588,587.342651,560.002563,571.6026,1368600,571.6026
2014-07-01,578.322632,599.65271,565.012573,571.6026,1668700,571.6026
2014-06-02,560.702515,582.452637,538.752441,575.282593,1872100,575.282593
2014-05-01,527.112427,567.84259,503.302277,559.892578,1828400,559.892578
2014-04-01,558.712524,604.832764,502.802277,526.662415,3290700,526.662415
2014-03-03,1206.752075,1226.992065,552.922546,556.972473,3409800,556.972473
2014-02-03,1179.202026,1228.88208,1128.021973,1215.6521,4528300,607.218811
2014-01-02,1115.461914,1186.541992,1082.271851,1180.972046,5743000,589.896118
2013-12-02,1063.511841,1121.001953,1049.021729,1120.711914,3364900,559.796204
2013-11-01,1031.791748,1068.001831,1005.001709,1059.591797,2755100,529.266602
2013-10-01,880.251526,1041.521851,842.981445,1030.581787,4963100,514.776123
2013-09-03,854.36145,905.991577,853.951416,875.911499,3497500,437.51825
2013-08-01,895.001526,909.711548,845.561462,846.901489,3225400,423.02771
2013-07-01,886.451538,928.001587,875.611511,887.751526,4874300,443.432343
2013-06-03,873.001465,910.841614,847.221436,880.37146,5111900,439.746002
2013-05-01,823.261414,920.601562,816.361389,871.221497,4688900,435.175598
2013-04-01,795.011414,827.641418,761.261292,824.571411,5096900,411.87384
2013-03-01,797.801331,844.001404,793.301392,794.191345,4500300,396.698975
2013-02-01,758.201294,808.971375,758.101257,801.201355,5135500,400.2005
2013-01-02,719.421265,760.951294,695.521179,755.691284,5165700,377.46817
2012-12-03,702.241211,729.101257,682.331116,707.381226,4385500,353.33728
2012-11-01,679.50116,699.221191,636.001099,698.371155,4764600,348.836761
2012-10-01,759.05127,774.381348,669.701111,680.301147,7010400,339.81076
2012-09-04,684.551147,764.891296,673.50116,754.501282,6652200,376.873779
2012-08-01,637.301086,688.99115,623.411072,685.091125,4293300,342.203369
2012-07-02,581.820984,642.601135,562.091003,632.971069,5080900,316.169373
2012-06-01,571.790955,587.891052,556.520996,580.070984,4686300,289.745758
2012-05-01,603.791016,637.851135,579.001038,580.860962,5624600,290.14035
2012-04-02,640.771118,653.141113,590.200989,604.851074,6151300,302.123413
2012-03-14,615.001038,658.591125,613.46106,641.241089,4920800,320.300262
